CustomerID,SimilarCustomerID,Score
C0001,C0002,0.9986310739646675
C0001,C0177,0.9911395756300484
C0001,C0193,0.989541391990587
C0002,C0001,0.9986310739646675
C0002,C0177,0.990830168044299
C0002,C0193,0.9836118442057923
C0003,C0057,0.9946717954563347
C0003,C0029,0.9898030839149452
C0003,C0135,0.9890707100936803
C0004,C0160,0.9939990885479665
C0004,C0131,0.9939990885479665
C0004,C0133,0.9930726528736966
C0005,C0068,0.9856236902976732
C0005,C0107,0.9806085723261284
C0005,C0039,0.9801589862111942
C0006,C0175,0.9949366763261821
C0006,C0125,0.9931326192185399
C0006,C0150,0.9897624106974509
C0007,C0137,0.994691793826551
C0007,C0178,0.9872177725716261
C0007,C0024,0.9872177725716261
C0008,C0022,0.9982731812361939
C0008,C0161,0.9960238411119944
C0008,C0147,0.995403900013586
C0009,C0092,0.9971711400185403
C0009,C0076,0.9929674489269134
C0009,C0138,0.9926811398867187
C0010,C0109,0.9806479901316268
C0010,C0058,0.9782319760890369
C0010,C0199,0.9773756483025022
C0011,C0192,0.9946717954563347
C0011,C0050,0.9890707100936803
C0011,C0063,0.9890707100936803
C0012,C0078,1.0
C0012,C0012,1.0
C0012,C0129,0.993399267798783
C0013,C0129,0.9991507429465938
C0013,C0046,0.9962709627734356
C0013,C0153,0.9906371723130819
C0014,C0034,0.9941348467724342
C0014,C0020,0.9863939238321436
C0014,C0089,0.9863939238321436
C0015,C0124,0.9683006310306368
C0015,C0062,0.9621032142443144
C0015,C0072,0.9558988911273406
C0016,C0043,0.9945577827230722
C0016,C0100,0.9848100051627504
C0016,C0086,0.9814194208400351
C0017,C0081,0.9949366763261821
C0017,C0068,0.9771398364036776
C0017,C0152,0.9649012813540153
C0018,C0174,0.9952267030562384
C0018,C0156,0.993848322297969
C0018,C0036,0.993848322297969
C0019,C0047,1.0
C0019,C0132,0.9940150117686348
C0019,C0033,0.9939990885479664
C0020,C0089,1.0
C0020,C0122,0.9877629653290689
C0020,C0128,0.9877629653290689
